;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15
V1;1.0;0.5578675744522773;0.049315980744867524;0.24885945131265724;1.0;-0.1289312923402468;0.13449301264027408;0.6177797380217321;-0.08396932503828844;0.9307026064132763;0.08919022183541066;0.42902331276984446;0.40654985828210133;0.42782506149347865;0.24035669772205806
V2;0.5578675744522773;1.0;0.25529882504576684;0.548905109216955;0.5578675744522771;0.06271125949455764;0.3034085432419381;0.8872036722863027;0.22576933589228562;0.7225583486536978;0.26991018237245235;0.5744113589460806;0.0015558556747829282;-0.0005392996478001321;0.10480418257925382
V3;0.049315980744867524;0.25529882504576684;1.0;0.5198506737564008;0.0493159807448675;0.1774432706071532;0.05063522347997549;0.22313727805165864;0.7549805761178987;0.017207666385664636;0.062174637330955955;0.05364553040342013;-0.19931035252534715;-0.29509440409928167;0.1805719132297464
V4;0.24885945131265724;0.548905109216955;0.5198506737564008;1.0;0.2488594513126573;0.15921569083178475;-0.36444225393339413;0.5339885534799356;0.6778917185848753;0.3418578072308335;-0.27830373592920976;0.2524952044120996;-0.2789425509988812;-0.2979211103323487;0.1284832615414429
V5;1.0;0.5578675744522771;0.0493159807448675;0.2488594513126573;1.0;-0.12893129234024692;0.13449301264027413;0.617779738021732;-0.08396932503828847;0.9307026064132765;0.0891902218354107;0.42902331276984446;0.40654985828210133;0.4278250614934788;0.24035669772205814
V6;-0.1289312923402468;0.06271125949455764;0.1774432706071532;0.15921569083178475;-0.12893129234024692;1.0;0.01329023298917168;-0.04135403976786117;0.5966452819087588;-0.12961910783253672;0.0469857422325618;-0.09466164204178763;-0.6340872823864367;-0.5632667958387831;-0.1465248841899443
V7;0.13449301264027408;0.3034085432419381;0.05063522347997549;-0.36444225393339413;0.13449301264027413;0.01329023298917168;1.0;0.24050868499975492;-0.15679180983572952;0.14700097303970022;0.8438684538482787;0.11334778186369417;0.2670742990785954;0.24530312213949196;-0.02421452000947992
V8;0.6177797380217321;0.8872036722863027;0.22313727805165864;0.5339885534799356;0.617779738021732;-0.04135403976786117;0.24050868499975492;1.0;0.09675781171457958;0.7360449945859803;0.21445150424737078;0.5207940052895572;0.06702290657377234;0.12530481386157122;0.1876229915078913
V9;-0.08396932503828844;0.22576933589228562;0.7549805761178987;0.6778917185848753;-0.08396932503828847;0.5966452819087588;-0.15679180983572952;0.09675781171457958;1.0;-0.09499582418060817;-0.09179041534685901;-0.04196999318284347;-0.5098460099730976;-0.5904454462202969;0.010259975035292059
V10;0.9307026064132763;0.7225583486536978;0.017207666385664636;0.3418578072308335;0.9307026064132765;-0.12961910783253672;0.14700097303970022;0.7360449945859803;-0.09499582418060817;1.0;0.10371690042001232;0.5353715672254037;0.34163701378215766;0.3942250673415845;0.21863908212672228
V11;0.08919022183541066;0.26991018237245235;0.062174637330955955;-0.27830373592920976;0.0891902218354107;0.0469857422325618;0.8438684538482787;0.21445150424737078;-0.09179041534685901;0.10371690042001232;1.0;0.10034644273177461;0.1682883268684053;0.1569713918730437;-0.051589757823986185
V12;0.42902331276984446;0.5744113589460806;0.05364553040342013;0.2524952044120996;0.42902331276984446;-0.09466164204178763;0.11334778186369417;0.5207940052895572;-0.04196999318284347;0.5353715672254037;0.10034644273177461;1.0;0.13153412208544354;0.13384973509618128;0.08209364031462454
V13;0.40654985828210133;0.0015558556747829282;-0.19931035252534715;-0.2789425509988812;0.40654985828210133;-0.6340872823864367;0.2670742990785954;0.06702290657377234;-0.5098460099730976;0.34163701378215766;0.1682883268684053;0.13153412208544354;1.0;0.9383535173738708;-0.08586153764802348
V14;0.42782506149347865;-0.0005392996478001321;-0.29509440409928167;-0.2979211103323487;0.4278250614934788;-0.5632667958387831;0.24530312213949196;0.12530481386157122;-0.5904454462202969;0.3942250673415845;0.1569713918730437;0.13384973509618128;0.9383535173738708;1.0;-0.03950632132424801
V15;0.24035669772205806;0.10480418257925382;0.1805719132297464;0.1284832615414429;0.24035669772205814;-0.1465248841899443;-0.02421452000947992;0.1876229915078913;0.010259975035292059;0.21863908212672228;-0.051589757823986185;0.08209364031462454;-0.08586153764802348;-0.03950632132424801;1.0
