V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
62473	9029	53952	45770	43731,1	2512	113	29403	80609	63724	71,19	158	158	158	1
98373	56367	-1	22473	68861,1	563	139	114136	129245	33859	87,57	190	155	119	1
787	93203	109460	105912	550,9	3258	127	11412	300882	326	80,01	145	120	72	1
4590	76386	23087	46211	3213	2276	140	80428	71589	533	88,2	154	137	109	1
84631	30822	25158	12022	59241,7	2167	143	43401	22692	88707	90,09	193	193	193	1
169281	33454	56726	24891	118496,7	1588	133	25615	92582	167743	83,79	210	169	138	1
52783	22091	43572	43604	36948,1	1750	120	36052		38135	75,6	164	147	110	1
1307	19877	113066	51116	914,9	2734	121	11814	175732	554	76,23	129	110	70	1
37199	2042	28813	36207	26039,3	1939	104	3499	66845	35856	65,52	155	139	112	1
19215	1999	14998	146361	13450,5	352	113	83499	165535	946	71,19	126	123	80	1
106204	13167	23978	52909	74342,8	3262	107	7023	90285	102212	67,41	182	161	129	1
123495	6262	30771	44554	86446,5	4298	106	4932	82166	122282	66,78	192	167	145	1
92196	10974	7937	36261	64537,2	3382	107	37928	49399	63423	67,41	189	172	134	1
96468	18985	27446	13964	67527,6	2887	134	8167	55747	95836	84,42	201	200	179	1
84388	6174	29870	27385	59071,6	2933	113	4316	62511	83923	71,19	189	190	157	1
90816	10583	26682	25004	63571,2	6215		4728	64457	90115	52	191	192	161	1
154513	8922	65470	22686	108159,1	3029	122	6698	94390	153532	76,86	240	199	166	1
40	86233	51233	45202	30	13936	141	130943	65654	11	88,83	123	126	122	1
324605	30715	99688	18202	227223,5	2	134	55037	126297		84,42	205	199	136	1
29299	83695	13569	23892	20509,3	73	154	10036	42771	97721	97,02	123	186	170	1
999	67159	7298	72632	699,3	2440	128	36718	78274	35536	80,64	114	127	110	1
8	81081	5990	60249	8	3208	137	69438	66742	14348	86,31	129	127	122	1
30656	5463	66749	46358	21459,2	1302	112	4733	112955	32840	70,56	137	127	109	1
103	43868	43642	36547	72,1	10240	132	24461	109939	0	83,16	124	129	54	1
24795	13671	41928	60210	17356,5	9924	109	14288	106236	30004	68,67	107	128	96	1
2504	18886	63894	52278	1752,8	12966	117	10892	137812	1824	73,71	116	111	56	1
24610	58382	49801	4614	17227	129	153	4961	112944	19631	96,39	146	180	93	1
16252	66434	64011	3831	11376,4	2	153	7264	130011	13253	96,39	158	165	98	1
30572	81781	330723	274396	21400,4	68960	115	27599	739825	19008	72,45	99	121	58	1
22945	137843	277198	285418	16061,5	63028	119	117961	653484	14987	74,97	108	116	74	1
533485	133327	9999	52239	373439,5	57382	150	93757	115190	577485	94,5	192	195	191	1
206385	128372	106437	242887	144469,5	102351	118	135153	428703	222576	74,34	131	135	116	1
222277	131002	156629	193827	155593,9	82697	123	224041	304672	257719	77,49	136	142	130	1
178839	19894	7218	62868	125187,3	38381	106	7088	107009	193103	66,78	162	167	156	1
246524	42702	83065	65584	172566,8	42125	124	17567	195085	267348	78,12	172	169	148	1
238344	42934	62705	111844	166840,8	24173	114	21051	200552	258397	71,82	165	168	143	1
24600	178759	119429	61440	17220	95772	146	600	476998	2402	91,98	136	125	32	1
124465	13035		30569	87125,5	2	121	3246	105422	124492	76,23	187	192	163	1
158968	10738	21185	49546	111277,6	22883	106	18449	84005	160866	66,78	183	183	183	1
125251	8844	10498	20384	87675,7	13673	115	11437	39575	127638	72,45	196	196	196	1
10214	-2	26258	103417	7149,8	4775	98	10223	134208	13069	61,74	96	107	90	1
152826	7050	84309	11015	106978,2	2	128	5179	97507	152514	80,64	199	191	183	1
164458	4411	15247	61168	115120,6	56	94	5639	75044	164657	59,22	197	202	196	1
154198	4750	37206	47787	107938,6	239	106	3684	86418	154078	66,78	187	204	192	1
105145	6519	6831	26104	73601,5	9301	105	6135	43597	104168	66,15	196	202	189	1
585013	180000	65827	421789	409509,1	9778	147	557763		948705	92,61	239	167	157	1
79364	6511	42941	91314	55554,8	8970	99	2566	146885	79649	62,37	121	152	129	1
3365	14226	43842	73300	2355,5	89147	107	4626	217342	1912	67,41	65	83	43	1
1152	28865	64199	93870	806,4	34634	112	613	222107	0	70,56	113	95	44	1
4535	35029	86906	84815	3174,5	14335	117	18763	202980	3877	73,71	115	113	63	1
2424	2970	8556	20107	1696,8	90893	102	332	123044	1574	64,26	39	43	20	1
11023	16839	41299	42339	7716,1	5375	117	2871	110471	3533	73,71	127	126	59	1
155691	8778	26496	46300	108983,7	4595	107	442	86773	154645	67,41	188	202	148	1
52453	636	9374	44073	36717,1	989	89	625	54609	52291	56,07	157	165	126	1
26503	32865	24751	52906	18552,1	88595	120	39626	161789	24205	75,6	92	90	82	1
580	6832	24509	73410	406	103469	98	20681	185955	2164	61,74	49	68	55	1
8410	30737	45382	53451	5887	81840	121	13921	198367	7532	76,23	81	90	63	1
2683	6002	20104	77175	1878,1	13461	95	1302	115813	2310	59,85	72	94	58	1
