;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15
V1;1.0;0.051393603112329066;0.14796665101293843;0.019084447028646062;0.9999999999999998;-0.1631511090551052;-0.04104019712060428;0.3039354347150056;-0.09706861107406167;0.8961472785212108;-0.04133290330157994;0.1340722708491613;0.4628993576728855;0.4567472751940053;0.26285779330911757
V2;0.051393603112329066;1.0;0.507637543587507;0.36537147792826813;0.05139360311232913;0.300256663313776;0.4174575918363032;0.5744022500923661;0.5694612103610324;0.05541338679710569;0.4176569090017602;-0.03153281662824559;-0.1416397920114993;-0.20591251013290918;0.13220719343968285
V3;0.14796665101293843;0.507637543587507;1.0;0.3653302004429522;0.1479666510129384;0.18097512082888462;0.08439321165727318;0.28070783828283086;0.5976523716258693;0.08142892499153107;0.08455875538031996;0.08325865875724993;-0.24823467756170503;-0.35046639414874464;0.1737432593415274
V4;0.019084447028646062;0.36537147792826813;0.3653302004429522;1.0;0.019084447028646128;0.20979485467567272;-0.48864887141889496;0.3099745708075437;0.7001085485197663;0.036664767266032516;-0.48841695782478256;-0.04943526574768965;-0.3457760406302346;-0.3800397360999295;0.11480129481641457
V5;0.9999999999999998;0.05139360311232913;0.1479666510129384;0.019084447028646128;1.0;-0.16315110905510527;-0.041040197120604284;0.3039354347150057;-0.09706861107406162;0.8961472785212106;-0.041332903301579946;0.1340722708491613;0.4628993576728855;0.4567472751940051;0.2628577933091176
V6;-0.1631511090551052;0.300256663313776;0.18097512082888462;0.20979485467567272;-0.16315110905510527;1.0;0.01329023298917168;0.013773666512391593;0.6265186739724484;-0.1857018224857835;0.013551787598685;-0.10711571326408684;-0.6340872823864367;-0.5632667958387831;-0.1465248841899443
V7;-0.04104019712060428;0.4174575918363032;0.08439321165727318;-0.48864887141889496;-0.041040197120604284;0.01329023298917168;1.0;0.20362993602844126;-0.16250140441846814;-0.06449508000966556;0.9999922979550595;0.12784856931284277;0.2670742990785954;0.24530312213949196;-0.02421452000947992
V8;0.3039354347150056;0.5744022500923661;0.28070783828283086;0.3099745708075437;0.3039354347150057;0.013773666512391593;0.20362993602844126;1.0;0.17299994293602472;0.2888262015538574;0.2037421786291925;-0.008036228555559456;0.028240838176040107;0.09504684341441333;0.24862796780352062
V9;-0.09706861107406167;0.5694612103610324;0.5976523716258693;0.7001085485197663;-0.09706861107406162;0.6265186739724484;-0.16250140441846814;0.17299994293602472;1.0;-0.14791810054432383;-0.16218769212926798;-0.05005212304512302;-0.547307465081014;-0.6188403737649248;-0.013779005367651616
V10;0.8961472785212108;0.05541338679710569;0.08142892499153107;0.036664767266032516;0.8961472785212106;-0.1857018224857835;-0.06449508000966556;0.2888262015538574;-0.14791810054432383;1.0;-0.06482113472138863;0.14427230538173005;0.46163136463324034;0.5056331574270858;0.28173165708625986
V11;-0.04133290330157994;0.4176569090017602;0.08455875538031996;-0.48841695782478256;-0.041332903301579946;0.013551787598685;0.9999922979550595;0.2037421786291925;-0.16218769212926798;-0.06482113472138863;1.0;0.12787329332184988;0.2666546559899881;0.24493525371855965;-0.02444223492547398
V12;0.1340722708491613;-0.03153281662824559;0.08325865875724993;-0.04943526574768965;0.1340722708491613;-0.10711571326408684;0.12784856931284277;-0.008036228555559456;-0.05005212304512302;0.14427230538173005;0.12787329332184988;1.0;0.14752436353890855;0.15178922451458773;0.08351029474483906
V13;0.4628993576728855;-0.1416397920114993;-0.24823467756170503;-0.3457760406302346;0.4628993576728855;-0.6340872823864367;0.2670742990785954;0.028240838176040107;-0.547307465081014;0.46163136463324034;0.2666546559899881;0.14752436353890855;1.0;0.9383535173738708;-0.08586153764802348
V14;0.4567472751940053;-0.20591251013290918;-0.35046639414874464;-0.3800397360999295;0.4567472751940051;-0.5632667958387831;0.24530312213949196;0.09504684341441333;-0.6188403737649248;0.5056331574270858;0.24493525371855965;0.15178922451458773;0.9383535173738708;1.0;-0.03950632132424801
V15;0.26285779330911757;0.13220719343968285;0.1737432593415274;0.11480129481641457;0.2628577933091176;-0.1465248841899443;-0.02421452000947992;0.24862796780352062;-0.013779005367651616;0.28173165708625986;-0.02444223492547398;0.08351029474483906;-0.08586153764802348;-0.03950632132424801;1.0
