;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15
0;0.192459;0.050191;0.342328;0.160005;0.192459;0.016963;0.397059;0.131057;0.121872;0.238356;0.397059;0.005847;0.6;0.635945;1.0
1;0.303054;0.315094;0.287657;0.078346;0.303054;0.003802;0.779412;0.50934;0.196423;0.126648;0.779412;0.007254;0.585366;0.456221;1.0
2;0.002424;0.521228;0.697871;0.37081;0.002424;0.022;0.602941;0.050738;0.459516;0.001219;0.602941;0.005275;0.414634;0.239631;1.0
3;0.01414;0.42712;0.14463;0.161551;0.01414;0.015369;0.794118;0.358853;0.108046;0.001994;0.794118;0.005671;0.497561;0.410138;1.0
4;0.26072;0.172144;0.157896;0.041714;0.26072;0.014633;0.838235;0.19355;0.033094;0.331803;0.838235;0.007386;0.770732;0.797235;1.0
5;0.521498;0.186873;0.360097;0.086822;0.521498;0.010723;0.691176;0.114146;0.140225;0.627433;0.691176;0.008133;0.653659;0.543779;1.0
6;0.162607;0.123286;0.275842;0.152413;0.162607;0.011817;0.5;0.160741;0.262592;0.142642;0.5;0.006111;0.546341;0.414747;1.0
7;0.004026;0.110896;0.720968;0.178744;0.004026;0.018462;0.514706;0.052533;0.267681;0.002072;0.514706;0.004572;0.365854;0.230415;1.0
8;0.114598;0.011091;0.181307;0.126486;0.114598;0.013093;0.264706;0.015411;0.100774;0.134117;0.264706;0.005715;0.507317;0.423963;1.0
9;0.059195;0.010851;0.092818;0.512589;0.059195;0.002377;0.397059;0.372564;0.25205;0.003538;0.397059;0.00444;0.429268;0.276498;1.0
10;0.327179;0.073347;0.150338;0.185028;0.327179;0.022027;0.308824;0.031144;0.136704;0.382318;0.308824;0.006902;0.614634;0.502304;1.0
11;0.380447;0.034706;0.193848;0.155743;0.380447;0.029023;0.294118;0.021809;0.124258;0.457389;0.294118;0.007342;0.643902;0.576037;1.0
12;0.284025;0.061075;0.047591;0.126675;0.284025;0.022837;0.308824;0.169116;0.074032;0.23723;0.308824;0.00721;0.668293;0.525346;1.0
13;0.297186;0.105904;0.172551;0.048521;0.297186;0.019495;0.705882;0.036251;0.083762;0.358469;0.705882;0.007737;0.804878;0.732719;1.0
14;0.259971;0.034214;0.188077;0.095564;0.259971;0.019805;0.397059;0.019059;0.09413;0.313909;0.397059;0.00721;0.756098;0.631336;1.0
15;0.279774;0.058887;0.167657;0.087218;0.279774;0.041967;0.479266;0.020898;0.097113;0.33707;0.4685;0.007298;0.765854;0.64977;1.0
